месяц	год	коэффициент	значение по тренду
1	2011	0.74	547.33
2	2011	0.75	538.38
3	2011	0.76	531.18
4	2011	0.77	524.15
5	2011	0.78	518.24
6	2011	0.79	513.03
7	2011	0.8	508.83
8	2011	0.8	505.3
9	2011	0.81	502.56
10	2011	0.81	500.64
11	2011	0.81	499.36
12	2011	0.81	498.77
1	2012	0.81	498.8
2	2012	0.81	499.43
3	2012	0.81	500.53
4	2012	0.81	502.22
5	2012	0.8	504.33
6	2012	0.8	506.95
7	2012	0.79	509.89
8	2012	0.79	513.29
9	2012	0.78	517.04
10	2012	0.78	520.95
11	2012	0.77	525.25
12	2012	0.76	529.63
1	2013	0.76	534.34
2	2013	0.75	539.2
3	2013	0.74	543.68
4	2013	0.74	548.72
5	2013	0.73	553.63
6	2013	0.72	558.71
7	2013	0.72	563.58
8	2013	0.71	568.54
9	2013	0.71	573.39
10	2013	0.7	577.94
11	2013	0.7	582.45
12	2013	0.69	586.59
1	2014	0.69	590.61
2	2014	0.68	594.33
3	2014	0.68	597.4
4	2014	0.67	600.43
5	2014	0.67	602.97
6	2014	0.67	605.14
7	2014	0.67	606.78
8	2014	0.67	607.94
9	2014	0.67	608.54
10	2014	0.67	608.54
11	2014	0.67	607.91
12	2014	0.67	606.65
1	2015	0.67	604.63
2	2015	0.67	601.86
3	2015	0.68	598.67
4	2015	0.68	594.35
5	2015	0.69	589.33
6	2015	0.69	583.26
7	2015	0.7	576.47
8	2015	0.71	568.5
9	2015	0.72	559.5
10	2015	0.74	549.78
11	2015	0.75	538.65
12	2015	0.77	526.8
1	2016	0.79	513.4
2	2016	0.81	498.78
3	2016	0.84	483.98
4	2016	0.87	466.91
5	2016	0.9	449.12
6	2016	0.93	436.46
7	2016	0.94	428.86
8	2016	0.96	422.09
9	2016	0.97	416.37
10	2016	0.98	411.75
11	2016	0.99	407.87
12	2016	1	404.9
1	2017	1.01	402.6
2	2017	1.01	400.99
3	2017	1.01	400.08
4	2017	1.01	399.61
5	2017	1.01	399.63
6	2017	1.01	400.08
7	2017	1.01	400.86
8	2017	1.01	401.96
9	2017	1	403.29
10	2017	1	404.73
11	2017	1	406.31
12	2017	0.99	407.86
1	2018	0.99	409.42
2	2018	0.99	410.86
3	2018	0.98	412.02
4	2018	0.98	413.07
5	2018	0.98	413.78
6	2018	0.98	414.15
7	2018	0.98	414.09
8	2018	0.98	413.52
9	2018	0.98	412.36
10	2018	0.99	410.62
11	2018	0.99	408.13
12	2018	1	404.96
