месяц	год	коэффициент	значение по тренду
1	2011	0.89	1387.1
2	2011	0.9	1366.15
3	2011	0.91	1348.96
4	2011	0.93	1331.86
5	2011	0.94	1317.24
6	2011	0.95	1304.13
7	2011	0.95	1293.37
8	2011	0.96	1284.24
9	2011	0.97	1277.14
10	2011	0.97	1272.2
11	2011	0.97	1269.09
12	2011	0.97	1268.01
1	2012	0.97	1268.89
2	2012	0.97	1271.79
3	2012	0.97	1276.35
4	2012	0.96	1283.17
5	2012	0.96	1291.71
6	2012	0.95	1302.52
7	2012	0.94	1314.92
8	2012	0.93	1329.72
9	2012	0.92	1346.55
10	2012	0.9	1364.76
11	2012	0.89	1385.58
12	2012	0.88	1407.66
1	2013	0.86	1432.46
2	2013	0.85	1459.29
3	2013	0.83	1485.27
4	2013	0.81	1515.96
5	2013	0.8	1547.58
6	2013	0.78	1582.26
7	2013	0.76	1617.75
8	2013	0.74	1656.41
9	2013	0.73	1688.95
10	2013	0.73	1683.38
11	2013	0.74	1678.29
12	2013	0.74	1673.99
1	2014	0.74	1670.21
2	2014	0.74	1667.11
3	2014	0.74	1664.87
4	2014	0.74	1663.04
5	2014	0.74	1661.9
6	2014	0.74	1661.38
7	2014	0.74	1661.51
8	2014	0.74	1662.31
9	2014	0.74	1663.77
10	2014	0.74	1665.83
11	2014	0.76	1625.56
12	2014	0.78	1577.68
1	2015	0.81	1531.42
2	2015	0.83	1488.34
3	2015	0.85	1452.08
4	2015	0.87	1414.78
5	2015	0.89	1381.43
6	2015	0.91	1349.72
7	2015	0.93	1321.6
8	2015	0.95	1295.1
9	2015	0.97	1271.11
10	2015	0.99	1250.17
11	2015	1	1230.8
12	2015	1.02	1214.16
1	2016	1.03	1199.05
2	2016	1.04	1185.94
3	2016	1.05	1175.42
4	2016	1.06	1165.93
5	2016	1.07	1158.38
6	2016	1.07	1152.19
7	2016	1.07	1147.65
8	2016	1.08	1144.36
9	2016	1.08	1142.41
10	2016	1.08	1141.7
11	2016	1.08	1142.08
12	2016	1.08	1143.44
1	2017	1.08	1145.77
2	2017	1.07	1148.94
3	2017	1.07	1152.45
4	2017	1.07	1156.96
5	2017	1.06	1161.86
6	2017	1.06	1167.37
7	2017	1.05	1173.04
8	2017	1.05	1179.17
9	2017	1.04	1185.47
10	2017	1.04	1191.63
11	2017	1.03	1197.96
12	2017	1.02	1203.97
1	2018	1.02	1209.97
2	2018	1.01	1215.64
3	2018	1.01	1220.4
4	2018	1.01	1225.19
5	2018	1	1229.24
6	2018	1	1232.74
7	2018	1	1235.36
8	2018	1	1237.18
9	2018	1	1238
10	2018	1	1237.75
11	2018	1	1236.32
12	2018	1	1233.71
