№ п/п	Инвентарный номер ИП	Дата сделки	Год постройки КС	Количество надземных этажей	Общая площадь помещения, кв.м	Этаж расположения	Количество жилых помещений (комнат), кв.м	Площадь кухни, кв.м	Наличие балкона, лоджии 	Наличие кладовой, гардеробной или других помещений для хранения	Высота потолка	Стеклопакеты в окнонных проемах	Возможность свободной планировки	Горячее водоснабжение	Санузлы	Отопление	Кондиционирование и вентиляция	Общее состояние здания/помещения	Элементы ландшафтного дизайна	Спортивная площадка	Огороженная территория	Количество парковочных мест для автомобилей	Собственная служба эксплуатации, управляющая компания	Консъерж/внутреннее видеонаблюдение	Подземный крытый паркинг (количество мест на парковке, шт.)	Наименование материала стен	"Наименование ""Виды конструкций"""	Территория	Доступность центра	Расстояние от СНП до центра притяжения	Цена, USD/кв.м	Цена за весь объект, USD	Маркер релевантности (1-релевантно, 0-нерелевантно)	номер оценочной зоны	СЗЗ	Пешеходная доступность рекреационой зоны	Маркер релевантности после усреднения	Стоимость Ани на дату сделки
1	500/D-708140060	03.08.2015	2014	15	59.1	1	2	10.2	1	нет	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1029.85	60864.14	1	Минск9_жм	0	1	1	1406.82
2	500/D-708140060	26.05.2015	2014	15	59.1	1	2	10.2	1	нет	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1084.55	64096.91	1	Минск9_жм	0	1	0	1501.66
3	500/D-708120830	05.03.2014	2013	7	138.4	3	3	18.5	2 и более	2 и более	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	1243.75	172135.00	0	Минск7_жм	0	1	0	1912.51
4	123/D-1	10.10.2012	1992	5	36.9	4	1	7.2	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	314.02	11587.49	0	кобрин1_жм	1	1	0	536.67
5	123/D-10	11.01.2011	1992	5	66.6	4	3	9	2 и более	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	672.31	44776.12	0	кобрин1_жм	1	1	0	
6	123/D-10120	07.08.2012	1968	2	40.5	2	2	6	Нет	1	до 2.7	Нет	Нет	Нет	1	Централизованное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	СНП	свыше 40	29402	24.75	1002.42	0	снп0_жм	1	0	0	50.19
7	123/D-10123	20.05.2015	1968	2	50.9	1	3	6.1	1	1	до 2.7	Нет	Нет	Нет	1	Централизованное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	СНП	свыше 40	29402	20.80	1058.57	0	снп0_жм	1	0	0	55.74
8	123/D-10133	03.10.2014	1973	5	63	4	3	7.2	2 и более	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	392.71	24740.81	0	кобрин1_жм	0	1	0	613.25
9	123/D-10189	19.09.2012	1981	5	82.5	1	4	8.5	2 и более	2 и более	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	430.30	35500.00	1	кобрин1_жм	1	1	1	452.60
10	123/D-10192	02.11.2010	1981	5	82.8	3	4	8.9	2 и более	2 и более	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	457.41	37873.75	0	кобрин1_жм	1	1	0	
11	123/D-10222	03.03.2015	1997	4	43.9	4	2	6.4	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	СНП	свыше 40	33612	228.40	10026.74	1	снп0_жм	1	0	0	318.54
26	123/D-10239	20.08.2014	1997	4	31.1	1	1	6.8	Нет	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	СНП	свыше 40	33612	154.74	4812.32	1	снп0_жм	1	0	0	332.48
27	123/D-10258	09.11.2013	1985	3	57.2	3	3	7.7	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	СНП	свыше 40	33612	260.82	14918.92	1	снп0_жм	1	0	0	258.99
28	123/D-10263	27.03.2012	1985	3	32.3	1	1	8.7	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	СНП	свыше 40	33612	92.76	2996.25	0	снп0_жм	1	0	0	244.40
29	123/D-1028	28.01.2011	1963	3	31.8	3	1	5.9	1	2 и более	до 2.7	Да	Нет	Централизованное	1	Централизованное	Приточно-вытяжная вентиляция	Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	626.43	19920.32	0	кобрин1_жм	0	1	0	
30	123/D-10289	08.07.2015	1985	3	58.2	3	3	7.9	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	СНП	свыше 40	33612	167.01	9720.06	1	снп0_жм	1	0	0	258.99
31	123/D-1031	15.01.2013	1980	5	37.3	1	1	9.89	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	471.88	17601.16	1	кобрин1_жм	1	0	1	514.28
32	123/D-10361	25.03.2014	1988	5	54.8	5	2	8.8	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	643.87	35284.26	1	кобрин1_жм	0	1	1	588.37
33	123/D-10367	01.09.2012	1992	5	36.8	1	1	9.1	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	588.27	21648.46	1	кобрин1_жм	1	1	1	511.10
34	123/D-10372	09.08.2012	1978	3	31.2	1	1	7.9	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	СНП	свыше 40	33612	57.58	1796.41	1	снп0_жм	0	0	0	245.67
35	123/D-10378	25.10.2012	1976	3	49.6	3	2	7.5	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Приточно-вытяжная вентиляция	Хорошее	Нет	Нет	Нет	1				Сборный железобетон	Бескаркасная	СНП	свыше 40	33612	189.98	9422.85	1	снп0_жм	1	0	0	232.55
36	123/D-10382	13.10.2010	1976	3	46.2	3	2	7.5	1	2 и более	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	СНП	свыше 40	33612	360.99	16677.79	0	снп0_жм	1	0	0	
37	123/D-10423	11.09.2013	1973	3	54.2	2	2	7.3	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	СНП	свыше 40	33612	142.71	7734.81	1	снп0_жм	1	0	0	263.59
38	123/D-1056	20.07.2010	1965	3	41.8	1	2	6.3	Нет	1	до 2.7	Нет	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	629.29	26304.35	0	кобрин1_жм	1	1	0	
39	123/D-10677	05.09.2012	1981	2	42.4	1	1	10.9	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	СНП	свыше 40	8977	307.75	13048.64	0	снп0_жм	1	0	0	166.00
40	123/D-10706	11.04.2012	1977	2	50	1	2	7.4	1	Нет	до 2.7	Да	Нет	Автономное	1	Централизованное	Естественная вентиляция	Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	489.00	24449.88	1	кобрин1_жм	0	1	1	504.11
41	123/D-10790	19.03.2013	1931	4	40.7	2	1	10.4	1	Нет	2.7 - 3	Нет	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	637.34	25939.68	1	кобрин1_жм	1	1	1	554.73
42	123/D-1085	25.11.2013	1968	5	58.8	1	3	5.5	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	544.22	32000.00	1	кобрин1_жм	1	1	1	560.73
43	123/D-10878	13.12.2010	1987	4	53.4	2	2	9.1	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	СНП	свыше 40	23672	205.24	10959.81	0	снп0_жм	1	0	0	
44	123/D-1098	25.01.2013	1967	4	43.6	4	2	5.98	1	Нет	до 2.7	Нет	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	611.27	26651.22	0	кобрин1_жм	1	1	0	527.26
45	123/D-10981	06.11.2013	1960	2	30	1	2	4.2	Нет	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	736.73	22101.84	1	кобрин1_жм	0	1	1	628.50
46	123/D-10984	24.01.2014	1960	2	38	1	2	4.4	Нет	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	644.86	24504.69	1	кобрин1_жм	0	1	1	
47	123/D-11023	28.02.2014	1900	2	59.7	1	2	8.5	Нет	Нет	2.7 - 3	Да	Нет	Централизованное	1	Централизованное	Приточно-вытяжная вентиляция	Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	496.16	29620.90	1	кобрин1_жм	1	1	1	588.53
48	123/D-11210	07.10.2014	1973	2	66.1	1	3	6.6	2 и более	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	СНП	свыше 40	33612	356.13	23540.49	1	снп0_жм	1	0	0	301.03
50	123/D-11226	01.10.2012	1993	5	78.2	4	4	9	2 и более	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	451.33	35294.12	1	кобрин1_жм	0	1	1	484.74
51	123/D-11265	17.03.2014	1968	2	42.8	2	2	7.18	Нет	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	722.82	30936.86	1	кобрин1_жм	1	1	1	663.09
52	123/D-11270	08.11.2013	1975	3	59	3	3	7.3	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	528.86	31202.60	1	кобрин1_жм	1	1	1	564.71
53	123/D-1129	25.07.2014	1975	5	30.2	4	1	6.8	1	Нет	до 2.7	Нет	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	772.31	23323.62	1	кобрин1_жм	1	1	1	625.84
54	123/D-1141	13.08.2014	1975	5	40.9	2	2	5.9	1	Нет	до 2.7	Нет	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	613.61	25096.53	1	кобрин1_жм	1	1	1	628.49
55	123/D-11546	27.10.2010	1992	5	36.7	3	1	9	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	693.67	25457.57	0	кобрин1_жм	1	1	0	
56	123/D-1168	14.06.2014	1988	5	35	5	1	6.9	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	671.43	23500.00	0	кобрин1_жм	1	1	0	630.90
57	123/D-1205	07.07.2012	1988	5	36	5	1	7.3	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	556.88	20047.73	0	кобрин1_жм	1	1	0	529.72
58	123/D-1236	26.04.2012	1982	5	55.5	3	2	8.9	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	531.53	29500.00	1	кобрин1_жм	1	1	1	503.77
59	123/D-12502	02.05.2013	1980	5	32.3	5	1	9.8	1	2 и более	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Приточно-вытяжная вентиляция	Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	466.00	15051.90	1	кобрин1_жм	1	0	1	556.95
60	123/D-12504	23.08.2013	1986	5	62.9	5	3	9.3	2 и более	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	свыше 10 до 20 включительно	0	721.03	45352.74	1	кобрин2_жм	1	0	1	539.86
61	123/D-12513	26.01.2013	1959	2	44.3	2	2	13.06	Нет	1	2.7 - 3	Нет	Нет	Нет	Не в помещении	Печное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	СНП	свыше 40	20845	22.94	1016.22	0	снп0_жм	1	0	0	59.05
62	123/D-12522	11.12.2014	1961	2	39.3	2	2	5.65	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	738.73	29032.26	0	кобрин1_жм	1	1	0	629.00
63	123/D-1253	26.02.2013	1975	3	31.7	3	1	8.4	1	1	до 2.7	Нет	Нет	Автономное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	СНП	свыше 40	13385	130.47	4136.05	1	снп0_жм	0	0	0	331.57
64	123/D-12564	28.04.2012	1998	5	75.6	2	3	10.8	2 и более	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	696.70	52670.81	0	кобрин1_жм	1	1	0	512.22
65	123/D-12644	25.09.2012	1996	5	48.6	3	2	7.1	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	534.44	25974.03	1	кобрин1_жм	1	1	1	549.88
66	123/D-12661	14.02.2014	1985	5	68	4	3	8.9	2 и более	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	514.71	35000.00	1	кобрин1_жм	1	1	1	580.76
67	123/D-12679	15.09.2010	1980	5	46.9	3	2	9.2	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	свыше 10 до 20 включительно	0	495.28	23228.43	0	кобрин2_жм	1	0	0	
68	123/D-12709	19.02.2010	1987	5	34.5	5	1	8.8	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	свыше 10 до 20 включительно	0	465.04	16043.96	0	кобрин2_жм	1	0	0	
69	123/D-12830	12.12.2013	2007	5	57.4	2	2	10.3	1	1	до 2.7	Да	Нет	Централизованное	1	Централизованное		Отличное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	649.84	37300.74	1	кобрин1_жм	0	1	1	653.48
70	123/D-12875	16.11.2011	1996	5	67.5	2	4	7.8	2 и более	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное			Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	588.53	39726.03	0	кобрин1_жм	1	1	0	
71	123/D-12928	06.01.2012	1985	5	67.9	2	3	8.6	2 и более	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное			Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	519.13	35248.82	1	кобрин1_жм	1	1	1	487.56
72	123/D-12928	23.07.2013	1985	5	67.9	2	3	8.6	2 и более	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	495.64	33653.85	1	кобрин1_жм	1	1	1	548.50
73	123/D-1323	14.12.2013	1979	5	66.7	2	3	8.8	2 и более	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное			Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	603.51	40254.24	1	кобрин1_жм	1	1	1	566.84
74	123/D-133	24.05.2010	1989	5	51.9	3	2	8.9	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное			Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	592.97	30774.96	0	кобрин1_жм	1	1	0	
75	123/D-1335	26.02.2013	1979	5	54.3	4	2	8.6	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное			Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	624.12	33889.53	1	кобрин1_жм	1	1	1	538.79
76	123/D-13423	14.09.2012	1996	5	48.8	1	2	7.1	2 и более	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	512.30	25000.00	1	кобрин1_жм	1	1	1	518.46
77	123/D-13447	07.09.2010	1992	5	51.1	3	2	8.8	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	свыше 10 до 20 включительно	0	525.13	26834.33	0	кобрин2_жм	1	0	0	
78	123/D-13504	09.10.2010	1977	5	49.9	5	2	9	1	2 и более	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	521.56	26026.03	0	кобрин1_жм	1	1	0	
79	123/D-13513	27.11.2013	1987	5	31.6	1	1	4.5	Нет	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Хорошее	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	679.09	21459.23	1	кобрин1_жм	0	1	1	604.57
